rent_sta,lat,long
Taiwan Taipei Yucheng Park,121.5855774,25.0420817
Taiwan Taipei University of Taipei,121.5135416,25.0355353
Taiwan Taipei Zenhua Park,121.5609363,25.1942462
Taiwan Taipei Lanya Park,121.5298742,25.1097423
Taiwan Taipei Taihe Park,121.570756,25.019084
Taiwan Taipei Songshan Vocational High School,121.5655714,25.0435287
Taiwan Taipei Jiang Wei-shui Memorial Park,121.516843,25.0597689
Taiwan Taipei Xingfong Park,120.9981183,24.8785466
Taiwan Taipei Longjiang & Nanjing Intersection,121.5405891,25.0572357
Taiwan Taipei Jiantan Community,121.538043,25.084918
Taiwan Taipei MRT Zhishan Sta.(Exit 2),121.5225139,25.1030598
Taiwan Taipei Beitou Sports Center,121.509768,25.1164729
Taiwan Taipei Lanxing Park,121.5229999,25.1104007
Taiwan Taipei University of Taipei Tianmu Campus,121.5365794,25.1161421
Taiwan Taipei Linyun Market,121.5654177,25.0329694
Taiwan Taipei Kaifong & Xining Intersection,121.5124524,25.0460502
Taiwan Taipei Minsheng & Guangfu Intersection,121.6447227,25.2219208
Taiwan Taipei Jianguo & Nongan Intersection,121.5379054,25.0383484
Taiwan Taipei Jianguo & Changchun Intersection,121.5379054,25.0383484
Taiwan Taipei MRT Taipei Arena Sta. (Exit 5),121.5531032,25.0517772
Taiwan Taipei Xinsheng & Changan Intersection,121.5276994,25.0605538
Taiwan Taipei Civic Blvd Linsen Intersection,121.5246437,25.0481207
Taiwan Taipei Emei Parking Lot,121.5055855,25.0443421
Taiwan Taipei MRT Gangqian Sta. (Exit 2),121.5758912,25.0796551
Taiwan Taipei Ruiguang & Gangqian Intersection,121.5754364,25.0760766
Taiwan Taipei Yongle Market,121.510283,25.0551656
Taiwan Taipei NTNU Gongguan Campus,121.5359759,25.0081215
Taiwan Taipei Wolong & Leye Intersection,121.554034,25.0186807
Taiwan Taipei Jinshan & Aiguo Intersection,121.6367773,25.2223616
Taiwan Taipei Dunhua & Keelung Intersection,121.5508441,25.0414864
Taiwan Taipei Raohe Night Market,121.5775254,25.0509541
Taiwan Taipei MRT Taipei Zoo Sta.(Exit 2),121.5794887,24.9981742
Taiwan Taipei MRT Huzhou Sta. (Exit 1),121.6074876,25.0735231
Taiwan Taipei Taipei Pot Plant Auction,121.5407369,25.0041338
Taiwan Taipei Taipei City Hakka Cultural Park,121.5253585,25.0202507
Taiwan Taipei Xinyi & Lianyun Intersection,121.5769572,25.0287024
Taiwan Taipei Taipei Municipal Shezi Elementary School,121.5027273,25.089958
Taiwan Taipei Nat?€?l Chengchi U.,121.5756198,24.9864564
Taiwan Taipei Taipei Botanical Garden,121.508655,25.0310042
Taiwan Taipei Sanmin Park,121.567903,25.061969
Taiwan Taipei MRT Dazhi Sta. (Exit 3),121.546894,25.079476
Taiwan Taipei Nangang Park,121.5921317,25.0457002
Taiwan Taipei Fushun Park,121.5220355,25.0646142
Taiwan Taipei Lanya Elementary School,121.523121,25.108283
Taiwan Taipei Donghu Junior High School,121.6194218,25.0721649
Taiwan Taipei MRT Nangang Software Park Sta.(Exit 2),121.615669,25.059993
Taiwan Taipei Xiyuan & Bangka Intersection,121.5264969,24.984127
Taiwan Taipei MRT Donghu Sta.,121.6116271,25.0675213
Taiwan Taipei Xinhu Elementary School,121.5885493,25.0682258
Taiwan Taipei Fulin Park,121.5290357,25.0948074
Taiwan Taipei TWTC Exhibition Hall 3,121.5644922,25.035669
Taiwan Taipei Dadaocheng Park,121.5103463,25.0586103
Taiwan Taipei Fuhua Market,121.593254,25.068994
Taiwan Taipei Donghu Elementary School,121.6160979,25.0692592
Taiwan Taipei Huaxi Park,121.4987777,25.0386499
Taiwan Taipei Fu-an Junior Hight School,121.4878824,25.1032614
Taiwan Taipei Fuhua Garden New Village(City),121.502885,25.029671
Taiwan Taipei Nat?€?l Defense U.,121.3030591,24.9347793
Taiwan Taipei Lequn 2nd & Jingye 4th Intersection,121.5563653,25.079988
Taiwan Taipei Nangang Elementary School,121.6105787,25.0571037
Taiwan Taipei MRT Fuxinggang Sta.,121.485444,25.137473
Taiwan Taipei Civic & Taiyuan Intersection,121.5399124,25.0446819
Taiwan Taipei Yanping Public Housing,121.510349,25.078976
Taiwan Taipei Heti Elementary School,121.5222201,25.0229121
Taiwan Taipei Jihe First Phase Republic Housing,121.5215319,25.0913402
Taiwan Taipei MRT Wende Sta. (Exit 2),121.5849812,25.0786084
Taiwan Taipei MRT Muzha Sta.,121.573145,24.99824
Taiwan Taipei Xingyun & Jinhu Intersection,121.5937232,25.0794429
Taiwan Taipei Dongyang Park,121.598463,25.057896
Taiwan Taipei MRT Jingmei Sta.,121.5406103,24.9931127
Taiwan Taipei Mucha Guanghui Intersection,121.5654177,25.0329694
Taiwan Taipei Taipei Flowers Auction,121.575088,25.062688
Taiwan Taipei Peiying Park,121.5449791,25.0821311
Taiwan Taipei Bei'an & Dazhi Intersection,121.5415678,25.0777783
